City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Bilibino,68.0546,166.4372,264.65,92,43,2.34,RU,2022-10-20 00:08:59
132,Port Elizabeth,-33.918,25.5701,294.31,83,0,10.29,ZA,2022-10-20 00:08:59
133,Broome,42.2506,-75.833,279.74,77,100,4.63,US,2022-10-20 00:08:59
134,Santa Rosa,14.3122,121.1114,300.98,87,100,1.43,PH,2022-10-20 00:09:00
135,Chokurdakh,70.6333,147.9167,252.65,100,100,2.06,RU,2022-10-20 00:09:00
136,Bethel,41.3712,-73.414,282.31,73,20,0.0,US,2022-10-20 00:09:01
137,Yumen,40.2833,97.2,277.68,58,16,4.23,CN,2022-10-20 00:09:01
138,Sitio Novo Do Tocantins,-5.5183,-47.4611,301.49,45,84,1.59,BR,2022-10-20 00:09:01
139,Zhuanghe,39.7008,122.9911,286.38,67,48,2.12,CN,2022-10-20 00:10:02
140,Leningradskiy,69.3833,178.4167,273.16,96,100,10.78,RU,2022-10-20 00:10:03
141,Kimbe,-5.5502,150.1429,305.13,57,94,0.88,PG,2022-10-20 00:10:03
142,Ust-Omchug,61.15,149.6333,259.27,83,100,2.48,RU,2022-10-20 00:06:35
143,Portland,45.5234,-122.6762,298.46,55,20,2.57,US,2022-10-20 00:08:18
144,Upernavik,72.7868,-56.1549,266.02,87,100,2.62,GL,2022-10-20 00:09:25
145,Porto Belo,-27.1578,-48.5531,294.7,94,27,1.8,BR,2022-10-20 00:10:06
146,Maryville,35.7565,-83.9705,283.42,64,0,2.57,US,2022-10-20 00:05:34
147,Dudinka,69.4058,86.1778,274.61,97,100,8.82,RU,2022-10-20 00:10:08
148,Mount Gambier,-37.8333,140.7667,291.28,55,12,3.96,AU,2022-10-20 00:10:08
149,Ponta Do Sol,32.6667,-17.1,297.04,79,100,4.06,PT,2022-10-20 00:10:09
150,Gostyn,51.8825,17.0123,277.83,80,2,2.05,PL,2022-10-20 00:10:10
151,Pitimbu,-7.4706,-34.8086,297.48,74,12,6.19,BR,2022-10-20 00:10:10
152,Saint Anthony,45.0205,-93.218,281.11,29,0,3.09,US,2022-10-20 00:10:11
153,Sanford,28.8006,-81.2731,289.89,64,0,4.63,US,2022-10-20 00:10:12
154,Anadyr,64.75,177.4833,276.43,93,100,5.0,RU,2022-10-20 00:10:13
155,Hilo,19.7297,-155.09,304.97,73,40,4.12,US,2022-10-20 00:09:58
156,Saldanha,-33.0117,17.9442,288.49,89,64,4.58,ZA,2022-10-20 00:10:14
157,New Norfolk,-42.7826,147.0587,291.32,49,52,0.89,AU,2022-10-20 00:10:14
158,Arman,59.7,150.1667,268.82,49,82,3.36,RU,2022-10-20 00:10:15
159,Agirish,61.9247,63.0231,274.26,84,96,4.44,RU,2022-10-20 00:10:15
160,Esperance,-33.8667,121.9,296.06,47,21,6.5,AU,2022-10-20 00:10:16
161,Fuxin,42.0156,121.6589,285.43,44,2,3.62,CN,2022-10-20 00:10:17
162,Banjar,-8.19,114.9675,300.83,81,100,1.2,ID,2022-10-20 00:10:17
163,Barcelona,41.3888,2.159,296.36,84,40,3.09,ES,2022-10-20 00:10:18
164,Caravelas,-17.7125,-39.2481,296.31,79,25,3.57,BR,2022-10-20 00:10:19
165,Arraial Do Cabo,-22.9661,-42.0278,295.47,89,100,10.39,BR,2022-10-20 00:10:20
166,Narsaq,60.9167,-46.05,275.27,64,14,7.01,GL,2022-10-20 00:10:20
167,Sangmelima,2.9333,11.9833,293.25,99,100,1.43,CM,2022-10-20 00:10:21
168,Tuatapere,-46.1333,167.6833,283.65,73,81,6.21,NZ,2022-10-20 00:10:22
169,Mbala,-8.8402,31.3659,290.63,39,71,3.07,ZM,2022-10-20 00:10:23
170,Neiafu,-18.65,-173.9833,301.53,78,75,3.09,TO,2022-10-20 00:10:23
171,Port Alfred,-33.5906,26.891,297.37,71,43,3.9,ZA,2022-10-20 00:10:24
172,Winchester,51.0651,-1.3187,290.2,91,100,2.57,GB,2022-10-20 00:06:15
173,Vegreville,53.5001,-112.0518,289.81,25,51,3.09,CA,2022-10-20 00:07:29
174,Pevek,69.7008,170.3133,272.17,95,100,2.51,RU,2022-10-20 00:10:25
175,Susanville,40.4163,-120.653,299.63,15,0,2.57,US,2022-10-20 00:10:26
176,Laguna,38.421,-121.4238,307.12,25,0,0.0,US,2022-10-20 00:10:27
177,Provideniya,64.3833,-173.3,275.21,100,100,9.83,RU,2022-10-20 00:10:28
178,Oranjemund,-28.55,16.4333,288.1,95,18,2.92,NA,2022-10-20 00:10:29
179,Kansanshi,-12.0951,26.4273,290.49,39,24,1.81,ZM,2022-10-20 00:10:29
180,Stony Plain,53.5334,-114.0021,292.57,37,68,2.18,CA,2022-10-20 00:06:31
181,Mombetsu,44.3525,143.3525,284.96,60,10,7.07,JP,2022-10-20 00:11:30
182,Airai,-8.9266,125.4092,293.53,76,86,0.26,TL,2022-10-20 00:11:31
183,Fortuna,40.5982,-124.1573,287.66,94,0,4.63,US,2022-10-20 00:11:31
184,Rio Cuarto,-33.1307,-64.3499,290.19,94,75,6.69,AR,2022-10-20 00:11:32
185,Te Anau,-45.4167,167.7167,280.89,87,74,3.75,NZ,2022-10-20 00:11:32
186,Heishan,41.6892,122.1128,287.94,59,2,7.01,CN,2022-10-20 00:11:33
